"","V1","V2","V3","V4"
"newrow","A1 ","-45.3822800000001","0.15436","0.998101839806037"
"newrow","A2 ","-102.0428","0.2216","0.998101839806037"
"newrow","A3 ","-130.501856287425","0.261197604790419","0.99430035198807"
"newrow","A4 ","-114.278611428572","0.226622857142858","0.996523095243915"
"newrow","A5 ","-120.523154285715","0.229708571428572","0.996523095243915"
"newrow","A6 ","-106.093848275862","0.202731034482759","0.995832345144886"
"newrow","A7 ","-95.2831172413792","0.186889655172414","0.995832345144886"
"newrow","A8 ","-123.394096551724","0.242262068965517","0.995832345144886"
"newrow","A9 ","-128.3824","0.2538","0.995832345144886"
"newrow","A10 ","-26.4633793103448","0.0516724137931034","0.995832345144886"
"newrow","A11 ","-27.4751724137931","0.0518965517241379","0.995832345144886"
"newrow","A12 ","-103.661089655172","0.204886206896552","0.995832345144886"
"newrow","A13 ","-80.3261793103448","0.162772413793103","0.995832345144886"
"newrow","A14 ","-72.6869931034482","0.137624137931034","0.995832345144886"
"newrow","B1 ","-122.167655172414","0.239706896551724","0.995832345144886"
"newrow","B2 ","-127.718993103448","0.244124137931034","0.995832345144886"
"newrow","B3 ","-61.1027885714287","0.120177142857143","0.996523095243915"
"newrow","B4 ","-50.143062857143","0.102325714285715","0.996523095243915"
"newrow","B5 ","-74.5057885714288","0.146177142857143","0.996523095243915"
"newrow","B6 ","-97.706845714286","0.190291428571429","0.996523095243915"
"newrow","B7 ","-120.238125714286","0.233651428571429","0.996523095243915"
